ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMa1220	cytochrome-c oxidase, cbb3-type subunit I(ccoN)	Sinorhizobium meliloti 2011	GO:0006119~oxidative phosphorylation,	GO:0016021~integral component of membrane,GO:0045278~plasma membrane respiratory chain complex IV,	GO:0004129~cytochrome-c oxidase activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR000883:Cytochrome c oxidase, subunit I,IPR004677:Cytochrome c oxidase cbb3-type, subunit I,IPR023615:Cytochrome c oxidase, subunit I, copper-binding site,IPR023616:Cytochrome c oxidase, subunit I domain,			KW-0249~Electron transport,KW-0679~Respiratory chain,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0186~Copper,KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,	KW-1278~Translocase,		METAL:Copper B	 via pros nitrogen,METAL:Copper B	 via tele nitrogen,METAL:Iron (high-spin heme axial ligand)	 via tele nitrogen,METAL:Iron (low-spin heme axial ligand)	 via tele nitrogen,TRANSMEM:Helical,								
SMa0766	cytochrome-c oxidase, cbb3-type subunit II(ccoO)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR003468:Cytochrome c oxidase, monohaem subunit/FixO,IPR009056:Cytochrome c domain,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,	KW-0560~Oxidoreductase,		DOMAIN:Cytochrome c,TRANSMEM:Helical,												
SMa1216	cytochrome-c oxidase, cbb3-type subunit II(ccoO)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR003468:Cytochrome c oxidase, monohaem subunit/FixO,IPR009056:Cytochrome c domain,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,	KW-0560~Oxidoreductase,		DOMAIN:Cytochrome c,TRANSMEM:Helical,												
SMa1213	cytochrome-c oxidase, cbb3-type subunit III(ccoP)	Sinorhizobium meliloti 2011	GO:0006119~oxidative phosphorylation,GO:0006811~ion transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0020037~heme binding,	IPR004678:Cytochrome c oxidase cbb3-type, subunit III,IPR008168:Cytochrome c, class IC,IPR009056:Cytochrome c domain,	PIRSF000006:cytochrome c oxidase, cbb3 type, FixP subunit,		KW-0249~Electron transport,KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0679~Respiratory chain,KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,		BINDING:Heme C 1	 covalent,BINDING:Heme C 2	 covalent,DOMAIN:Cytochrome c 1,DOMAIN:Cytochrome c 2,METAL:Iron (heme C 1 axial ligand),METAL:Iron (heme C 2 axial ligand),TOPO_DOM:Cytoplasmic,TOPO_DOM:Periplasmic,TRANSMEM:Helical,										
SMa2402	diaminobutyrate decarboxylase(rhbB)	Sinorhizobium meliloti 2011	GO:0019289~rhizobactin 1021 biosynthetic process,GO:0019752~carboxylic acid metabolic process,		GO:0030170~pyridoxal phosphate binding,GO:0033983~diaminobutyrate decarboxylase activity,	IPR002129:Pyridoxal phosphate-dependent decarboxylase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR021115:Pyridoxal-phosphate binding site,						KW-0663~Pyridoxal phosphate,	KW-0210~Decarboxylase,KW-0456~Lyase,														
SMa2400	diaminobutyrate--2-oxoglutarate transaminase(rhbA)	Sinorhizobium meliloti 2011	GO:0019289~rhizobactin 1021 biosynthetic process,		GO:0030170~pyridoxal phosphate binding,GO:0045303~diaminobutyrate-2-oxoglutarate transaminase activity,	IPR004637:2,4-diaminobutyrate 4-transaminase,IPR005814:Aminotransferase class-III,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	PIRSF000521:4-aminobutyrate/lysine/ornithine transaminase,					KW-0663~Pyridoxal phosphate,	KW-0032~Aminotransferase,KW-0808~Transferase,														
SM_b20611	dicarboxylate/amino acid:cation symporter(SM2011_RS14065)	Sinorhizobium meliloti 2011	GO:0006835~dicarboxylic acid transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015293~symporter activity,	IPR001991:Sodium:dicarboxylate symporter,IPR018107:Sodium:dicarboxylate symporter, conserved site,IPR023954:C4-dicarboxylate transport protein,			KW-0769~Symport,KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TOPO_DOM:Cytoplasmic,TOPO_DOM:Periplasmic,TRANSMEM:Helical,TRANSMEM:Helical	 Name=1,TRANSMEM:Helical	 Name=10,TRANSMEM:Helical	 Name=11,TRANSMEM:Helical	 Name=12,TRANSMEM:Helical	 Name=2,TRANSMEM:Helical	 Name=3,TRANSMEM:Helical	 Name=4,TRANSMEM:Helical	 Name=5,TRANSMEM:Helical	 Name=6,TRANSMEM:Helical	 Name=7,TRANSMEM:Helical	 Name=8,TRANSMEM:Helical	 Name=9,
SMc04173	dihydrofolate reductase family protein(SM2011_RS24560)	Sinorhizobium meliloti 2011	GO:0009231~riboflavin biosynthetic process,		GO:0008703~5-amino-6-(5-phosphoribosylamino)uracil reductase activity,	IPR002734:Bacterial bifunctional deaminase-reductase, C-terminal,IPR024072:Dihydrofolate reductase-like domain,									DOMAIN:RibD_C,												
SM_b20019	dihydrolipoamide succinyltransferase(C770_RS25905)	Sinorhizobium meliloti GR4			GO:0016746~transferase activity, transferring acyl groups,	IPR000089:Biotin/lipoyl attachment,IPR001078:2-oxoacid dehydrogenase acyltransferase, catalytic domain,IPR003016:2-oxo acid dehydrogenase, lipoyl-binding site,IPR004167:E3 binding,IPR011053:Single hybrid motif,IPR023213:Chloramphenicol acetyltransferase-like domain,					KW-0450~Lipoyl,		KW-0808~Transferase,		DOMAIN:Lipoyl-binding,DOMAIN:Peripheral subunit-binding (PSBD),REGION:Disordered,												
SMc01095	efflux RND transporter permease subunit(SM2011_RS16475)	Sinorhizobium meliloti 2011	GO:0042908~xenobiotic transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0015562~efflux transmembrane transporter activity,	IPR000731:Sterol-sensing domain,IPR001036:Acriflavin resistance protein,IPR004764:Hydrophobe/amphiphile efflux-1 HAE1,IPR027463:Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains,			KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:SSD,TRANSMEM:Helical,												
SMa1587	endo-1,3-1,4-beta-glycanase EglC(eglC)	Sinorhizobium meliloti 2011	GO:0000271~polysaccharide biosynthetic process,	GO:0005576~extracellular region,	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0005509~calcium ion binding,	IPR000757:Glycoside hydrolase, family 16,IPR001343:Haemolysin-type calcium-binding repeat,IPR011049:Serralysin-like metalloprotease, C-terminal,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,			KW-0270~Exopolysaccharide synthesis,	KW-0964~Secreted,	KW-0677~Repeat,		KW-0326~Glycosidase,KW-0378~Hydrolase,		ACT_SITE:Nucleophile,ACT_SITE:Proton donor,DOMAIN:GH16,REPEAT:Hemolysin-type calcium-binding 1,REPEAT:Hemolysin-type calcium-binding 2,REPEAT:Hemolysin-type calcium-binding 3,												
SM_b20955	endo-1,3-1,4-beta-glycanase ExoK(exoK)	Sinorhizobium meliloti 2011	GO:0000271~polysaccharide biosynthetic process,GO:0005975~carbohydrate metabolic process,	GO:0005576~extracellular region,	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0042972~licheninase activity,	IPR000757:Glycoside hydrolase, family 16,IPR008263:Glycoside hydrolase, family 16, active site,IPR008264:Beta-glucanase,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,			KW-0270~Exopolysaccharide synthesis,	KW-0964~Secreted,	KW-0732~Signal,		KW-0326~Glycosidase,KW-0378~Hydrolase,		ACT_SITE:Nucleophile,ACT_SITE:Proton donor,DOMAIN:GH16,												
SMa0892	error-prone DNA polymerase(SM2011_RS02485)	Sinorhizobium meliloti 2011	GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0009432~SOS response,	GO:0005737~cytoplasm,	GO:0003887~DNA-directed DNA polymerase activity,GO:0008408~3'-5' exonuclease activity,	IPR003141:Polymerase/histidinol phosphatase, N-terminal,IPR004013:PHP, C-terminal,IPR004805:DNA polymerase III, alpha subunit,IPR011708:Bacterial DNA polymerase III, alpha subunit,IPR016195:Polymerase/histidinol phosphatase-like,IPR023073:DNA polymerase, error-prone,		SM00481:POLIIIAc,	KW-0227~DNA damage,KW-0234~DNA repair,KW-0235~DNA replication,	KW-0963~Cytoplasm,			KW-0239~DNA-directed DNA polymerase,KW-0548~Nucleotidyltransferase,KW-0808~Transferase,		REGION:Disordered,												
SMc03788	error-prone DNA polymerase(SM2011_RS30555)	Sinorhizobium meliloti 2011	GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0009432~SOS response,	GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0003887~DNA-directed DNA polymerase activity,GO:0008408~3'-5' exonuclease activity,	IPR003141:Polymerase/histidinol phosphatase, N-terminal,IPR004013:PHP, C-terminal,IPR004365:Nucleic acid binding, OB-fold, tRNA/helicase-type,IPR004805:DNA polymerase III, alpha subunit,IPR011708:Bacterial DNA polymerase III, alpha subunit,IPR016195:Polymerase/histidinol phosphatase-like,IPR023073:DNA polymerase, error-prone,		SM00481:POLIIIAc,	KW-0227~DNA damage,KW-0234~DNA repair,KW-0235~DNA replication,	KW-0963~Cytoplasm,			KW-0239~DNA-directed DNA polymerase,KW-0548~Nucleotidyltransferase,KW-0808~Transferase,														
SMc01907	esterase-like activity of phytase family protein(SM2011_RS20720)	Sinorhizobium meliloti 2011	GO:0009166~nucleotide catabolic process,	GO:0016021~integral component of membrane,	GO:0016787~hydrolase activity,	IPR006179:5'-Nucleotidase/apyrase,IPR015943:WD40/YVTN repeat-like-containing domain,IPR027372:Phytase-like domain,				KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,		KW-0560~Oxidoreductase,		DOMAIN:Phytase-like,												
SM_b20946	exopolysaccharide production protein ExoY(exoY)	Sinorhizobium meliloti 2011	GO:0000271~polysaccharide biosynthetic process,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0016740~transferase activity,GO:0047360~undecaprenyl-phosphate galactose phosphotransferase activity,	IPR003362:Bacterial sugar transferase,			KW-0270~Exopolysaccharide synthesis,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0808~Transferase,		DOMAIN:Bac_transf,TRANSMEM:Helical,												
SM_b21221	extracellular solute-binding protein(SM2011_RS10270)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,		IPR006059:Bacterial extracellular solute-binding, family 1,			KW-0813~Transport,	KW-0574~Periplasm,	KW-0732~Signal,																
SMc02156	extracellular solute-binding protein(SM2011_RS16800)	Sinorhizobium meliloti 2011			GO:0015419~ATPase-coupled sulfate transmembrane transporter activity,	IPR005669:Thiosulphate/Sulfate-binding protein,					KW-0732~Signal,																
SMa5031	ferredoxin(C770_RS21970)	Sinorhizobium meliloti GR4			GO:0016491~oxidoreductase activity,GO:0051536~iron-sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,							KW-0560~Oxidoreductase,														
SMa1240	ferredoxin-type protein NapF(SM2011_RS03380)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR004496:Ferredoxin-type protein NapF,IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain,IPR017900:4Fe-4S ferredoxin, iron-sulphur binding, conserved site,				KW-0963~Cytoplasm,	KW-0677~Repeat,	KW-0004~4Fe-4S,KW-0408~Iron,			DOMAIN:4Fe-4S ferredoxin-type,METAL:Iron-sulfur 1 (4Fe-4S),METAL:Iron-sulfur 2 (4Fe-4S),METAL:Iron-sulfur 3 (4Fe-4S),												
SMc00371	ferritin-like domain-containing protein(SM2011_RS15800)	Sinorhizobium meliloti 2011				IPR009078:Ferritin-like superfamily,IPR010287:Domain of unknown function DUF892,IPR012347:Ferritin-related,									DOMAIN:DUF892,												
SMc03014	flagellar M-ring protein FliF(fliF)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005886~plasma membrane,GO:0009431~bacterial-type flagellum basal body, MS ring,GO:0016021~integral component of membrane,	GO:0003774~motor activity,	IPR000067:Flagellar M-ring protein FliF,IPR006182:Secretory protein YscJ/FliF,IPR013556:Flagellar M-ring C-terminal,	PIRSF004862:flagellar m ring protein,			KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:YscJ_FliF,DOMAIN:YscJ_FliF_C,REGION:Disordered,TRANSMEM:Helical,												
SMc03034	flagellar basal body L-ring protein FlgH(SM2011_RS17695)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0009279~cell outer membrane,GO:0009427~bacterial-type flagellum basal body, distal rod, L ring,	GO:0003774~motor activity,	IPR000527:Flagellar L-ring protein,				KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,KW-0998~Cell outer membrane,	KW-0732~Signal,			KW-0449~Lipoprotein,KW-0564~Palmitate,	COMPBIAS:Polar residues,LIPID:N-palmitoyl cysteine,LIPID:S-diacylglycerol cysteine,REGION:Disordered,												
SMc03032	flagellar basal body P-ring protein FlgI(SM2011_RS17685)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0009428~bacterial-type flagellum basal body, distal rod, P ring,GO:0030288~outer membrane-bounded periplasmic space,	GO:0005198~structural molecule activity,	IPR001782:Flagellar P-ring protein,				KW-0282~Flagellum,KW-0574~Periplasm,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,	KW-0732~Signal,																
SMc03028	flagellar basal body rod protein FlgC(flgC)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0030694~bacterial-type flagellum basal body, rod,		IPR001444:Flagellar basal body rod protein, N-terminal,IPR006299:Flagellar basal-body rod protein FlgC,IPR010930:Flagellar basal-body/hook protein, C-terminal domain,IPR019776:Flagellar basal body rod protein, conserved site,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,	KW-0175~Coiled coil,				DOMAIN:Flg_bb_rod,DOMAIN:Flg_bbr_C,												
SMc03024	flagellar basal-body rod protein FlgF(flgF)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0030694~bacterial-type flagellum basal body, rod,		IPR001444:Flagellar basal body rod protein, N-terminal,IPR010930:Flagellar basal-body/hook protein, C-terminal domain,IPR012836:Flagellar basal-body rod FlgF,IPR020013:Fagellar hook-basal body protein, FlgE/F/G,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,					DOMAIN:Flg_bb_rod,DOMAIN:Flg_bbr_C,												
SMc03030	flagellar basal-body rod protein FlgG(flgG)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0009426~bacterial-type flagellum basal body, distal rod,		IPR001444:Flagellar basal body rod protein, N-terminal,IPR010930:Flagellar basal-body/hook protein, C-terminal domain,IPR012834:Flagellar basal-body rod FlgG,IPR019776:Flagellar basal body rod protein, conserved site,IPR020013:Fagellar hook-basal body protein, FlgE/F/G,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,					DOMAIN:Flg_bb_rod,DOMAIN:Flg_bbr_C,												
SMc03054	flagellar biosynthesis protein FlhA(flhA)	Sinorhizobium meliloti 2011	GO:0009306~protein secretion,GO:0044780~bacterial-type flagellum assembly,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR001712:Type III secretion system FHIPEP,IPR006301:Flagellar biosynthesis protein FlhA,	PIRSF005419:type III secretion apparatus inner membrane protein, FlhA type,		KW-0653~Protein transport,KW-0813~Transport,KW-1005~Bacterial flagellum biogenesis,KW-1006~Bacterial flagellum protein export,	KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,	KW-0175~Coiled coil,				TRANSMEM:Helical,												
SMc03050	flagellar biosynthesis regulator FlaF(flaF)	Sinorhizobium meliloti 2011	GO:0044781~bacterial-type flagellum organization,			IPR010845:Flagellar FlaF,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,																	
SMc03051	flagellar biosynthesis repressor FlbT(flbT)	Sinorhizobium meliloti 2011	GO:0006402~mRNA catabolic process,GO:0044781~bacterial-type flagellum organization,GO:1902209~negative regulation of bacterial-type flagellum assembly,		GO:0048027~mRNA 5'-UTR binding,	IPR009967:Flagellum biosynthesis repressor FlbT,	PIRSF009533:post-transcriptional regulator of flagellin biosynthesis FlbT,		KW-1005~Bacterial flagellum biogenesis,	KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,			KW-0678~Repressor,KW-0694~RNA-binding,														
SMc03047	flagellar hook protein FlgE(flgE)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0009425~bacterial-type flagellum basal body,		IPR001444:Flagellar basal body rod protein, N-terminal,IPR010930:Flagellar basal-body/hook protein, C-terminal domain,IPR011491:Flagellar basal body FlaE,IPR019776:Flagellar basal body rod protein, conserved site,IPR020013:Fagellar hook-basal body protein, FlgE/F/G,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,					DOMAIN:FlaE,DOMAIN:Flg_bb_rod,DOMAIN:Flg_bbr_C,												
SMc03049	flagellar hook-associated family protein(SM2011_RS17770)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005576~extracellular region,GO:0009288~bacterial-type flagellum,	GO:0005198~structural molecule activity,	IPR001029:Flagellin, D0/D1 domain,				KW-0282~Flagellum,KW-0964~Secreted,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,					DOMAIN:Flagellin_D0/D1,												
SMc03029	flagellar hook-basal body complex protein FliE(fliE)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0009425~bacterial-type flagellum basal body,	GO:0003774~motor activity,GO:0005198~structural molecule activity,	IPR001624:Flagellar hook-basal body complex protein FliE,				KW-0282~Flagellum,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,																	
SMc03042	flagellar motor protein MotB(SM2011_RS17735)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR006665:Outer membrane protein, OmpA/MotB, C-terminal,IPR025713:Motility protein B, N-terminal domain,				KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-1003~Cell membrane,	KW-0812~Transmembrane,				COMPBIAS:Polar residues,DOMAIN:OmpA-like,REGION:Disordered,TRANSMEM:Helical,												
SMc03022	flagellar motor stator protein MotA(motA)	Sinorhizobium meliloti 2011	GO:0006811~ion transport,GO:0006935~chemotaxis,GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000540:Flagellar motor protein MotA, conserved site,IPR002898:MotA/TolQ/ExbB proton channel,IPR022522:Flagellar motor stator, MotA,			KW-0145~Chemotaxis,KW-0283~Flagellar rotation,KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:MotA_ExbB,TRANSMEM:Helical,												
SMc03021	flagellar motor switch protein FliM(SM2011_RS17630)	Sinorhizobium meliloti 2011	GO:0006935~chemotaxis,GO:0097588~archaeal or bacterial-type flagellum-dependent cell motility,	GO:0005886~plasma membrane,GO:0009425~bacterial-type flagellum basal body,		IPR001543:Surface presentation of antigen (SpoA),			KW-0145~Chemotaxis,KW-0283~Flagellar rotation,	KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					DOMAIN:FliMN_C,												
SMc03020	flagellar motor switch protein FliN(fliN)	Sinorhizobium meliloti 2011	GO:0006935~chemotaxis,GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005886~plasma membrane,GO:0009425~bacterial-type flagellum basal body,	GO:0003774~motor activity,	IPR001172:Flagellar motor switch FliN/Type III secretion HrcQb,IPR001543:Surface presentation of antigen (SpoA),IPR012826:Flagellar motor switch FliN,			KW-0145~Chemotaxis,KW-0283~Flagellar rotation,	KW-0282~Flagellum,KW-0472~Membrane,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					DOMAIN:FliMN_C,												
SMc03025	flagellar protein export ATPase FliI(fliI)	Sinorhizobium meliloti 2011	GO:0030254~protein secretion by the type III secretion system,GO:0044781~bacterial-type flagellum organization,	GO:0005737~cytoplasm,GO:0009288~bacterial-type flagellum,GO:0030257~type III protein secretion system complex,	GO:0005524~ATP binding,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR003593:AAA+ ATPase domain,IPR005714:ATPase, type III secretion system, FliI/YscN,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR022426:Flagellum-specific ATP synthase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0066~ATP synthesis,KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0653~Protein transport,KW-0813~Transport,KW-1005~Bacterial flagellum biogenesis,KW-1006~Bacterial flagellum protein export,	KW-0282~Flagellum,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0969~Cilium,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,KW-1278~Translocase,		DOMAIN:AAA,NP_BIND:ATP,												
SMc03037	flagellin(SM2011_RS17710)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005576~extracellular region,GO:0009288~bacterial-type flagellum,	GO:0005198~structural molecule activity,	IPR001029:Flagellin, D0/D1 domain,IPR001492:Flagellin,				KW-0282~Flagellum,KW-0964~Secreted,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,	KW-0175~Coiled coil,				DOMAIN:Flagellin_D0/D1,												
SMc03038	flagellin(SM2011_RS17715)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005576~extracellular region,GO:0009288~bacterial-type flagellum,	GO:0005198~structural molecule activity,	IPR001029:Flagellin, D0/D1 domain,IPR001492:Flagellin,				KW-0282~Flagellum,KW-0964~Secreted,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,	KW-0175~Coiled coil,				DOMAIN:Flagellin_D0/D1,												
SMc03039	flagellin(SM2011_RS17720)	Sinorhizobium meliloti 2011	GO:0071973~bacterial-type flagellum-dependent cell motility,	GO:0005576~extracellular region,GO:0009288~bacterial-type flagellum,	GO:0005198~structural molecule activity,	IPR001029:Flagellin, D0/D1 domain,IPR001492:Flagellin,				KW-0282~Flagellum,KW-0964~Secreted,KW-0966~Cell projection,KW-0969~Cilium,KW-0975~Bacterial flagellum,	KW-0175~Coiled coil,				DOMAIN:Flagellin_D0/D1,												
SM_b20198	form I ribulose bisphosphate carboxylase large subunit(SM2011_RS07535)	Sinorhizobium meliloti 2011	GO:0019253~reductive pentose-phosphate cycle,		GO:0000287~magnesium ion binding,GO:0004497~monooxygenase activity,GO:0016984~ribulose-bisphosphate carboxylase activity,	IPR000685:Ribulose bisphosphate carboxylase, large subunit, C-terminal,IPR017443:Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal,IPR020878:Ribulose bisphosphate carboxylase, large chain, active site,IPR020888:Ribulose bisphosphate carboxylase, large subunit,			KW-0113~Calvin cycle,KW-0120~Carbon dioxide fixation,			KW-0460~Magnesium,KW-0479~Metal-binding,	KW-0456~Lyase,KW-0503~Monooxygenase,KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,BINDING:Substrate,BINDING:Substrate	 in homodimeric partner,DOMAIN:RuBisCO_large,DOMAIN:RuBisCO_large_N,METAL:Magnesium,METAL:Magnesium	 via carbamate group,SITE:Transition state stabilizer,										
