ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE							
SinmeB_1550	carbohydrate kinase family protein(SM2011_RS23560)	Sinorhizobium meliloti 2011			GO:0016301~kinase activity,GO:0016773~phosphotransferase activity, alcohol group as acceptor,	IPR002173:Carbohydrate/puine kinase, PfkB, conserved site,IPR011611:Carbohydrate kinase PfkB,							KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:PfkB,							
SinmeB_0718	carboxylating nicotinate-nucleotide diphosphorylase(nadC)	Sinorhizobium meliloti 2011	GO:0009435~NAD biosynthetic process,		GO:0004514~nicotinate-nucleotide diphosphorylase (carboxylating) activity,	IPR002638:Quinolinate phosphoribosyl transferase, C-terminal,IPR004393:Nicotinate-nucleotide pyrophosphorylase,IPR013785:Aldolase-type TIM barrel,IPR022412:Quinolinate phosphoribosyl transferase, N-terminal,IPR027277:Nicotinate-nucleotide pyrophosphorylase/Putative pyrophosphorylase ModD,	PIRSF006250:nicotinate-nucleotide pyrophosphorylase (carboxylating),		KW-0662~Pyridine nucleotide biosynthesis,				KW-0808~Transferase,		DOMAIN:QRPTase_C,DOMAIN:QRPTase_N,							
SinmeB_0162	carboxymuconolactone decarboxylase family protein(SM2011_RS17065)	Sinorhizobium meliloti 2011			GO:0004601~peroxidase activity,GO:0051920~peroxiredoxin activity,	IPR003779:Carboxymuconolactone decarboxylase,IPR004675:Alkylhydroperoxidase AhpD core,							KW-0560~Oxidoreductase,KW-0575~Peroxidase,		DOMAIN:CMD,							
SinmeB_4659	catalase(SM2011_RS06630)	Sinorhizobium meliloti 2011	GO:0006979~response to oxidative stress,GO:0042744~hydrogen peroxide catabolic process,		GO:0004096~catalase activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR002226:Catalase haem-binding site,IPR010582:Catalase immune-responsive domain,IPR011614:Catalase core domain,IPR018028:Catalase, mono-functional, haem-containing,IPR020835:Catalase-like domain,IPR024708:Catalase active site,IPR024712:Catalase, mono-functional, haem-containing, clade 2,	PIRSF038927:monofunctional catalase, clade 2 type,	SM01060:SM01060,	KW-0376~Hydrogen peroxide,			KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,KW-0575~Peroxidase,		BINDING:Heme,DOMAIN:Catalase,METAL:Iron (heme axial ligand),REGION:Disordered,							
SinmeB_4877	cell division topological specificity factor MinE(minE)	Sinorhizobium meliloti 2011	GO:0007049~cell cycle,GO:0032955~regulation of barrier septum assembly,GO:0051301~cell division,			IPR005527:Septum formation topological specificity factor MinE,			KW-0131~Cell cycle,KW-0132~Cell division,													
SinmeB_4877	cell division topological specificity factor(C770_RS27060)	Sinorhizobium meliloti GR4	GO:0007049~cell cycle,GO:0032955~regulation of barrier septum assembly,GO:0051301~cell division,			IPR005527:Septum formation topological specificity factor MinE,			KW-0131~Cell cycle,KW-0132~Cell division,													
SinmeB_6179	chaperone NapD(SM2011_RS03375)	Sinorhizobium meliloti 2011	GO:0051224~negative regulation of protein transport,	GO:0005737~cytoplasm,	GO:0005048~signal sequence binding,	IPR005623:Chaperone NapD, nitrate reductase assembly,				KW-0963~Cytoplasm,			KW-0143~Chaperone,									
SinmeB_5276	chaperonin GroEL(groL)	Sinorhizobium meliloti 2011	GO:0042026~protein refolding,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,GO:0051082~unfolded protein binding,	IPR001844:Chaperonin Cpn60,IPR002423:Chaperonin Cpn60/TCP-1,IPR018370:Chaperonin Cpn60, conserved site,IPR027409:GroEL-like apical domain,IPR027410:TCP-1-like chaperonin intermediate domain,IPR027413:GroEL-like equatorial domain,			KW-0346~Stress response,	KW-0963~Cytoplasm,	KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0143~Chaperone,KW-0413~Isomerase,		BINDING:ATP,BINDING:ATP	 via amide nitrogen,NP_BIND:ATP,						
SinmeB_4727	chromosome partitioning protein ParA(C770_RS26330)	Sinorhizobium meliloti GR4				IPR017818:Plasmid partitioning protein, RepA,IPR025669:AAA domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									DOMAIN:AAA_31,REGION:Disordered,							
SinmeB_0545	chromosome segregation protein SMC(SM2011_RS19055)	Sinorhizobium meliloti 2011	GO:0006260~DNA replication,GO:0007062~sister chromatid cohesion,GO:0030261~chromosome condensation,	GO:0005694~chromosome,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0005524~ATP binding,	IPR003395:RecF/RecN/SMC,IPR010935:SMCs flexible hinge,IPR011890:Structural maintenance of chromosomes protein, prokaryotic,IPR024704:Structural maintenance of chromosomes protein,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	PIRSF005719:structural maintenance of chromosomes protein,	SM00968:SM00968,		KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0238~DNA-binding,		DOMAIN:SMC hinge,NP_BIND:ATP,REGION:Disordered,							
SinmeB_2494	class I SAM-dependent methyltransferase(SM2011_RS27950)	Sinorhizobium meliloti 2011	GO:0032259~methylation,		GO:0008168~methyltransferase activity,	IPR013216:Methyltransferase type 11,							KW-0489~Methyltransferase,KW-0808~Transferase,		DOMAIN:Methyltransf_11,							
SinmeB_2780	class I SAM-dependent methyltransferase(SM2011_RS29385)	Sinorhizobium meliloti 2011											KW-0489~Methyltransferase,KW-0808~Transferase,									
SinmeB_0406	co-chaperone GroES(groES)	Sinorhizobium meliloti 2011	GO:0006457~protein folding,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,	IPR011032:GroES-like,IPR018369:Chaperonin Cpn10, conserved site,IPR020818:Chaperonin Cpn10,		SM00883:SM00883,	KW-0346~Stress response,	KW-0963~Cytoplasm,			KW-0143~Chaperone,									
SinmeB_2472	cob(I)yrinic acid a,c-diamide adenosyltransferase(SM2011_RS27840)	Sinorhizobium meliloti 2011	GO:0009236~cobalamin biosynthetic process,		GO:0005524~ATP binding,GO:0008817~cob(I)yrinic acid a,c-diamide adenosyltransferase activity,	IPR016030:Adenosylcobalamin biosynthesis, ATP:cob(I)alamin adenosyltransferase-like,			KW-0169~Cobalamin biosynthesis,		KW-0175~Coiled coil,	KW-0067~ATP-binding,	KW-0808~Transferase,		DOMAIN:Cob_adeno_trans,							
SinmeB_1759	cobalamin biosynthesis protein(SM2011_RS24285)	Sinorhizobium meliloti 2011	GO:0009236~cobalamin biosynthetic process,			IPR002750:Cobalamin (vitamin B12) biosynthesis CbiG, core,									DOMAIN:CbiG_C,							
SinmeB_1757	cobyrinate a,c-diamide synthase(SM2011_RS24275)	Sinorhizobium meliloti 2011	GO:0006541~glutamine metabolic process,GO:0009236~cobalamin biosynthetic process,		GO:0005524~ATP binding,GO:0042242~cobyrinic acid a,c-diamide synthase activity,GO:0043802~hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing) activity,	IPR002586:CobQ/CobB/MinD/ParA nucleotide binding domain,IPR004484:Cobyrinic acid a,c-diamide synthase CbiA,IPR011698:CobB/CobQ-like glutamine amidotransferase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			KW-0169~Cobalamin biosynthesis,		KW-0315~Glutamine amidotransferase,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0547~Nucleotide-binding,	KW-0436~Ligase,		ACT_SITE:Nucleophile,DOMAIN:CbiA,DOMAIN:GATase cobBQ-type,DOMAIN:GATase_3,SITE:Increases nucleophilicity of active site Cys,							
SinmeB_1876	cold-shock protein(SM2011_RS24855)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012156:Cold shock, CspA,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	PIRSF002599:cold shock protein, CspA type,	SM00357:CSP,	KW-0346~Stress response,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0963~Cytoplasm,			KW-0010~Activator,KW-0238~DNA-binding,		DOMAIN:CSD,							
SinmeB_1932	cold-shock protein(SM2011_RS25125)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,	IPR002059:Cold-shock protein, DNA-binding,IPR011129:Cold shock protein,IPR012156:Cold shock, CspA,IPR012340:Nucleic acid-binding, OB-fold,IPR019844:Cold-shock conserved site,	PIRSF002599:cold shock protein, CspA type,	SM00357:CSP,		KW-0963~Cytoplasm,			KW-0238~DNA-binding,		DOMAIN:CSD,							
SinmeB_6185	copper-containing nitrite reductase(C770_RS22410)	Sinorhizobium meliloti GR4	GO:0019333~denitrification pathway,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0050421~nitrite reductase (NO-forming) activity,	IPR001117:Multicopper oxidase, type 1,IPR001287:Nitrite reductase, copper-type,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR008972:Cupredoxin,IPR011707:Multicopper oxidase, type 3,			KW-0534~Nitrate assimilation,	KW-0574~Periplasm,	KW-0677~Repeat,KW-0732~Signal,	KW-0186~Copper,KW-0274~FAD,KW-0285~Flavoprotein,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,		DOMAIN:Plastocyanin-like,DOMAIN:Plastocyanin-like 1,DOMAIN:Plastocyanin-like 2,METAL:Copper 1	 type 1,METAL:Copper 2	 type 2,SIGNAL:Tat-type signal,					
SinmeB_6185	copper-containing nitrite reductase(nirK)	Sinorhizobium meliloti 2011	GO:0019333~denitrification pathway,GO:0042128~nitrate assimilation,	GO:0042597~periplasmic space,	GO:0005507~copper ion binding,GO:0050421~nitrite reductase (NO-forming) activity,	IPR001117:Multicopper oxidase, type 1,IPR001287:Nitrite reductase, copper-type,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR008972:Cupredoxin,IPR011707:Multicopper oxidase, type 3,			KW-0534~Nitrate assimilation,	KW-0574~Periplasm,	KW-0677~Repeat,KW-0732~Signal,	KW-0186~Copper,KW-0274~FAD,KW-0285~Flavoprotein,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,		DOMAIN:Plastocyanin-like,DOMAIN:Plastocyanin-like 1,DOMAIN:Plastocyanin-like 2,METAL:Copper 1	 type 1,METAL:Copper 2	 type 2,SIGNAL:Tat-type signal,					
SinmeB_3184	cupin domain-containing protein(SM2011_RS14730)	Sinorhizobium meliloti 2011				IPR011051:RmlC-like cupin domain,IPR013096:Cupin 2, conserved barrel,IPR014710:RmlC-like jelly roll fold,									COMPBIAS:Basic and acidic residues,DOMAIN:Cupin_2,REGION:Disordered,							
SinmeB_1408	cyclic pyranopterin monophosphate synthase MoaC(moaC)	Sinorhizobium meliloti 2011	GO:0006777~Mo-molybdopterin cofactor biosynthetic process,		GO:0061799~cyclic pyranopterin monophosphate synthase activity,	IPR002820:Molybdopterin cofactor biosynthesis C (MoaC) domain,IPR023045:Molybdenum cofactor biosynthesis C,			KW-0501~Molybdenum cofactor biosynthesis,				KW-0456~Lyase,		DOMAIN:MoaC,REGION:Substrate binding,							
SinmeB_0701	cyclopropane-fatty-acyl-phospholipid synthase(cfa2)	Sinorhizobium meliloti 2011	GO:0008610~lipid biosynthetic process,GO:0032259~methylation,		GO:0008825~cyclopropane-fatty-acyl-phospholipid synthase activity,	IPR003333:Mycolic acid cyclopropane synthase,	PIRSF003085:fatty-acyl-phospholipid/mycolic acid cyclopropane synthase,				KW-0175~Coiled coil,		KW-0489~Methyltransferase,KW-0808~Transferase,									
SinmeB_1481	cysteine desulfurase(SM2011_RS23220)	Sinorhizobium meliloti 2011	GO:0006534~cysteine metabolic process,		GO:0030170~pyridoxal phosphate binding,GO:0031071~cysteine desulfurase activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR010970:Cysteine desulfurase, SufS,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR016454:Cysteine desulfurase, NifS,	PIRSF005572:cysteine desulfurase, NifS type,					KW-0663~Pyridoxal phosphate,	KW-0808~Transferase,		DOMAIN:Aminotran_5,							
SinmeB_1485	cysteine desulfurase(SM2011_RS23240)	Sinorhizobium meliloti 2011			GO:0031071~cysteine desulfurase activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR016454:Cysteine desulfurase, NifS,	PIRSF005572:cysteine desulfurase, NifS type,					KW-0663~Pyridoxal phosphate,	KW-0032~Aminotransferase,KW-0808~Transferase,		DOMAIN:Aminotran_5,							
SinmeB_6176	cytochrome C(C770_RS22455)	Sinorhizobium meliloti GR4	GO:0019333~denitrification pathway,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR005126:NapC/NirT cytochrome c, N-terminal,IPR011885:Periplasmic nitrate reductase c-type cytochrome, NapC/NirT,IPR024717:Denitrification system component NapC/NirT/NrfH,	PIRSF000013:denitrification system component NapC/NirT(membrane-bound tetraheme cytochrome),		KW-0249~Electron transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,	KW-0349~Heme,KW-0408~Iron,			BINDING:Heme 1	 covalent,BINDING:Heme 2	 covalent,BINDING:Heme 3	 covalent,BINDING:Heme 4	 covalent,DOMAIN:Cytochrom_NNT,METAL:Iron (heme 1 axial ligand),METAL:Iron (heme 2 axial ligand)	 via tele nitrogen,METAL:Iron (heme 3 axial ligand)	 via tele nitrogen,METAL:Iron (heme 4 axial ligand)	 via tele nitrogen,TRANSMEM:Helical,
SinmeB_4491	cytochrome c family protein(SM2011_RS07440)	Sinorhizobium meliloti 2011			GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR002327:Cytochrome c, class IA/ IB,IPR009056:Cytochrome c domain,			KW-0813~Transport,		KW-0732~Signal,	KW-0349~Heme,KW-0408~Iron,			DOMAIN:Cytochrome c,							
SinmeB_2344	cytochrome c family protein(SM2011_RS27175)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR002327:Cytochrome c, class IA/ IB,IPR009056:Cytochrome c domain,			KW-0813~Transport,	KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,	KW-0349~Heme,KW-0408~Iron,			DOMAIN:Cytochrome c,							
SinmeB_3726	cytochrome c oxidase assembly protein(SM2011_RS11305)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR019108:Cytochrome c oxidase caa3-type, assembly factor CtaG-related,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,							
SinmeB_2347	cytochrome c oxidase subunit 3(SM2011_RS27190)	Sinorhizobium meliloti 2011	GO:0019646~aerobic electron transport chain,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004129~cytochrome-c oxidase activity,	IPR000298:Cytochrome c oxidase, subunit III,IPR013833:Cytochrome c oxidase, subunit III, 4-helical bundle,IPR024791:Cytochrome c/ubiquinol oxidase subunit III,				KW-0472~Membrane,			KW-0560~Oxidoreductase,		DOMAIN:COX3,TRANSMEM:Helical,							
SinmeB_2346	cytochrome c oxidase subunit I(ctaD)	Sinorhizobium meliloti 2011	GO:0006119~oxidative phosphorylation,GO:0015990~electron transport coupled proton transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0004129~cytochrome-c oxidase activity,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR000883:Cytochrome c oxidase, subunit I,IPR014241:Cytochrome c oxidase, subunit I bacterial type,IPR023615:Cytochrome c oxidase, subunit I, copper-binding site,IPR023616:Cytochrome c oxidase, subunit I domain,			KW-0249~Electron transport,KW-0679~Respiratory chain,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0186~Copper,KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,			DOMAIN:COX1,REGION:Disordered,TRANSMEM:Helical,							
SinmeB_2345	cytochrome c oxidase subunit II(SM2011_RS27180)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0004129~cytochrome-c oxidase activity,GO:0005507~copper ion binding,	IPR001505:Copper centre Cu(A),IPR002429:Cytochrome c oxidase subunit II C-terminal,IPR008972:Cupredoxin,			KW-0249~Electron transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,	KW-0186~Copper,KW-0479~Metal-binding,	KW-0560~Oxidoreductase,KW-1278~Translocase,		DOMAIN:COX2_CUA,TRANSMEM:Helical,							
SinmeB_0516	cytochrome c oxidase subunit II(coxB)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0004129~cytochrome-c oxidase activity,GO:0005507~copper ion binding,	IPR001505:Copper centre Cu(A),IPR002429:Cytochrome c oxidase subunit II C-terminal,IPR008972:Cupredoxin,IPR011759:Cytochrome C oxidase subunit II, transmembrane domain,IPR014222:Cytochrome c oxidase, subunit II,			KW-0813~Transport,	KW-0472~Membrane,	KW-0732~Signal,	KW-0186~Copper,	KW-0560~Oxidoreductase,KW-1278~Translocase,		DOMAIN:COX2_CUA,DOMAIN:COX2_TM,TRANSMEM:Helical,							
SinmeB_4272	cytochrome c(SM2011_RS08540)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070469~respiratory chain,	GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0020037~heme binding,GO:0033717~gluconate 2-dehydrogenase (acceptor) activity,	IPR008168:Cytochrome c, class IC,IPR009056:Cytochrome c domain,IPR014353:Membrane-bound alcohol dehydrogenase, cytochrome c subunit,	PIRSF000018:membrane-bound alcohol dehydrogenase, cytochrome c subunit,		KW-0249~Electron transport,KW-0679~Respiratory chain,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,	KW-0560~Oxidoreductase,		BINDING:Heme 1 (covalent),BINDING:Heme 2 (covalent),BINDING:Heme 3 (covalent),COMPBIAS:Polar residues,DOMAIN:Cytochrome c,METAL:Iron (heme 1 axial ligand),METAL:Iron (heme 2 axial ligand),METAL:Iron (heme 3 axial ligand),REGION:Disordered,TRANSMEM:Helical,							
SinmeB_0590	cytochrome c(SM2011_RS19290)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,	GO:0005506~iron ion binding,GO:0009055~electron carrier activity,GO:0020037~heme binding,	IPR002321:Cytochrome c, class II,IPR010980:Cytochrome c/b562,IPR012127:Cytochrome c prime,IPR015984:Cytochrome c prime, subgroup,	PIRSF000027:cytochrome c',		KW-0249~Electron transport,KW-0813~Transport,		KW-0732~Signal,	KW-0349~Heme,KW-0408~Iron,			BINDING:Heme	 covalent,METAL:Iron (heme axial ligand),						
SinmeB_0591	cytochrome c(SM2011_RS19295)	Sinorhizobium meliloti 2011			GO:0009055~electron carrier activity,GO:0020037~heme binding,GO:0033717~gluconate 2-dehydrogenase (acceptor) activity,GO:0046872~metal ion binding,	IPR009056:Cytochrome c domain,						KW-0349~Heme,KW-0408~Iron,	KW-0418~Kinase,KW-0560~Oxidoreductase,KW-0808~Transferase,		DOMAIN:Cytochrome c,							
SinmeB_6176	cytochrome c3 family protein(SM2011_RS03360)	Sinorhizobium meliloti 2011	GO:0019333~denitrification pathway,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR005126:NapC/NirT cytochrome c, N-terminal,IPR011885:Periplasmic nitrate reductase c-type cytochrome, NapC/NirT,IPR024717:Denitrification system component NapC/NirT/NrfH,	PIRSF000013:denitrification system component NapC/NirT(membrane-bound tetraheme cytochrome),		KW-0249~Electron transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0349~Heme,KW-0408~Iron,			BINDING:Heme 1	 covalent,BINDING:Heme 2	 covalent,BINDING:Heme 3	 covalent,BINDING:Heme 4	 covalent,DOMAIN:Cytochrom_NNT,METAL:Iron (heme 1 axial ligand),METAL:Iron (heme 2 axial ligand)	 via tele nitrogen,METAL:Iron (heme 3 axial ligand)	 via tele nitrogen,METAL:Iron (heme 4 axial ligand)	 via tele nitrogen,TRANSMEM:Helical,
SinmeB_4811	dehydrogenase(C770_RS26740)	Sinorhizobium meliloti GR4			GO:0008442~3-hydroxyisobutyrate dehydrogenase activity,GO:0016491~oxidoreductase activity,GO:0050661~NADP binding,GO:0051287~NAD binding,	IPR002204:3-hydroxyisobutyrate dehydrogenase-related, conserved site,IPR006115:6-phosphogluconate dehydrogenase, NADP-binding,IPR008927:6-phosphogluconate dehydrogenase, C-terminal-like,IPR013328:Dehydrogenase, multihelical,IPR015815:Hydroxy monocarboxylic acid anion dehydrogenase, HIBADH-type,	PIRSF000103:hydroxy monocarboxylic acid anion dehydrogenase, HIBADH type,						KW-0560~Oxidoreductase,		DOMAIN:NAD_binding_11,DOMAIN:NAD_binding_2,							
SinmeB_1154	deoxyguanosinetriphosphate triphosphohydrolase(SM2011_RS22080)	Sinorhizobium meliloti 2011			GO:0016793~triphosphoric monoester hydrolase activity,	IPR003607:HD/PDEase domain,IPR006261:Deoxyguanosinetriphosphate triphosphohydrolase,IPR006674:HD domain,IPR023023:Deoxyguanosinetriphosphate triphosphohydrolase, type 2,IPR026875:Phosphohydrolase-associated domain,		SM00471:HDc,					KW-0378~Hydrolase,		DOMAIN:HD,							
SinmeB_0660	diacylglycerol kinase family lipid kinase(SM2011_RS19600)	Sinorhizobium meliloti 2011			GO:0003951~NAD+ kinase activity,	IPR001206:Diacylglycerol kinase, catalytic domain,IPR016064:ATP-NAD kinase-like domain,IPR017438:Inorganic polyphosphate/ATP-NAD kinase, domain 1,							KW-0418~Kinase,KW-0808~Transferase,		DOMAIN:DAGKc,							
SinmeB_0376	dienelactone hydrolase family protein(SM2011_RS18205)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0008806~carboxymethylenebutenolidase activity,GO:0016787~hydrolase activity,	IPR002925:Dienelactone hydrolase,IPR006311:Twin-arginine translocation pathway, signal sequence,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,		DOMAIN:DLH,TRANSMEM:Helical,							
SinmeB_1080	dihydrolipoyl dehydrogenase(lpdA)	Sinorhizobium meliloti 2011	GO:0045454~cell redox homeostasis,		GO:0004148~dihydrolipoyl dehydrogenase activity,GO:0050660~flavin adenine dinucleotide binding,	IPR004099:Pyridine nucleotide-disulphide oxidoreductase, dimerisation,IPR006258:Dihydrolipoamide dehydrogenase,IPR012999:Pyridine nucleotide-disulphide oxidoreductase, class I, active site,IPR016156:FAD/NAD-linked reductase, dimerisation,IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,	PIRSF000350:mercury(II) reductase, MerA type,					KW-0274~FAD,KW-0520~NAD,KW-0547~Nucleotide-binding,KW-0670~Pyruvate,		KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,BINDING:FAD,BINDING:NAD,BINDING:NAD	 via amide nitrogen,DISULFID:Redox-active,DOMAIN:Pyr_redox_2,DOMAIN:Pyr_redox_dim,NP_BIND:FAD,NP_BIND:NAD,						
SinmeB_1560	dihydroneopterin aldolase(folB)	Sinorhizobium meliloti 2011	GO:0046654~tetrahydrofolate biosynthetic process,GO:0046656~folic acid biosynthetic process,		GO:0004150~dihydroneopterin aldolase activity,	IPR006156:Dihydroneopterin aldolase,IPR006157:Dihydroneopterin aldolase/epimerase domain,		SM00905:SM00905,	KW-0289~Folate biosynthesis,				KW-0456~Lyase,		DOMAIN:FolB,							
SinmeB_1584	dipeptide epimerase(SM2011_RS23730)	Sinorhizobium meliloti 2011			GO:0016855~racemase and epimerase activity, acting on amino acids and derivatives,GO:0046872~metal ion binding,	IPR013341:Mandelate racemase/muconate lactonizing enzyme, N-terminal,IPR013342:Mandelate racemase/muconate lactonizing enzyme, C-terminal,		SM00922:SM00922,				KW-0460~Magnesium,	KW-0413~Isomerase,		ACT_SITE:Proton acceptor	 specific for (R)-substrate epimerization,ACT_SITE:Proton acceptor	 specific for (S)-substrate epimerization,DOMAIN:MR_MLE,METAL:Magnesium,					
SinmeB_4242	ectoine hydrolase DoeA(doeA)	Sinorhizobium meliloti 2011			GO:0016787~hydrolase activity,GO:0102009~proline dipeptidase activity,	IPR000587:Creatinase,IPR000994:Peptidase M24, structural domain,IPR014335:Ectoine utilization protein EutD,							KW-0224~Dipeptidase,KW-0378~Hydrolase,KW-0645~Protease,		DOMAIN:Creatinase_N,DOMAIN:Peptidase_M24,							
SinmeB_4328	efflux RND transporter periplasmic adaptor subunit(SM2011_RS08260)	Sinorhizobium meliloti 2011		GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR006143:RND efflux pump, membrane fusion protein,				KW-0472~Membrane,	KW-0812~Transmembrane,				DOMAIN:HlyD_D23,REGION:Disordered,							
SinmeB_4306	efflux RND transporter periplasmic adaptor subunit(SM2011_RS08375)	Sinorhizobium meliloti 2011		GO:0016020~membrane,	GO:0022857~transmembrane transporter activity,	IPR006143:RND efflux pump, membrane fusion protein,					KW-0175~Coiled coil,				DOMAIN:CusB_dom_1,DOMAIN:HlyD_D23,							
SinmeB_0880	endonuclease/exonuclease/phosphatase family protein(SM2011_RS20690)	Sinorhizobium meliloti 2011			GO:0003824~catalytic activity,GO:0004519~endonuclease activity,GO:0004527~exonuclease activity,	IPR005135:Endonuclease/exonuclease/phosphatase,							KW-0255~Endonuclease,KW-0269~Exonuclease,KW-0378~Hydrolase,KW-0540~Nuclease,		DOMAIN:Endo/exonuclease/phosphatase,							
